	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
379	1850	It's a good thing, I've got a good poking ***machine***, Miss What's-your-name, While I'm here they'll find ' it's no use knocking at the door/ Now come on, you coppery-looking wretches.	I'll keep the ugly warmint out of this. [SEP] It's a good thing, I've got a good poking ***machine***, Miss What's-your-name, While I'm here they'll find ' it's no use knocking at the door/ Now come on, you coppery-looking wretches. [SEP] High Holborn for ever !	002439264_01_2999	machine	1.0	0.0
380	1874	Leach Daniel,/, cooper, 13 Greyfriars' street Leach WiUiam, / shoemaker, 66 Vernon street Leadbeater Mr John, 33 Pytchley street Leadbeater Samuel, marine store dealer, 46 Wellingborough road Lee George, ***machine*** closer, 38 Freehold street Lee Jeremiah, shopkr.	James, B.A., curate of St Katha Lea Henry Charles, tobacconists Abington ter. [SEP] Leach Daniel,/, cooper, 13 Greyfriars' street Leach WiUiam, / shoemaker, 66 Vernon street Leadbeater Mr John, 33 Pytchley street Leadbeater Samuel, marine store dealer, 46 Wellingborough road Lee George, ***machine*** closer, 38 Freehold street Lee Jeremiah, shopkr. [SEP] Se beerho.	003903404_01_7613	machine	0.0	0.0
381	1885	There were the brothers Rowle to talk to ; Mr. Grimstone to shake my hand ; Mr. Ruddle to chat with about the success of the ***machine***, and about Lister, concerning whom he made a significant motion, turning his hand into a drinking-vessel, and shaking his head.	said Tom, laughing ; and then my attention was taken up in a dozen ways. [SEP] There were the brothers Rowle to talk to ; Mr. Grimstone to shake my hand ; Mr. Ruddle to chat with about the success of the ***machine***, and about Lister, concerning whom he made a significant motion, turning his hand into a drinking-vessel, and shaking his head. [SEP] Then there was a hitch.	002747911_03_3417	machine	0.0	0.0
382	1836	Johnson's genius and Radcliffe's judgment and perseverance, at length produced the dressing-***machine***; an admirable invention, Avilhout which the poAver-loom could never have been rendered efficient.	"He had for his assistant Thomas Johnson, an ingenious, but dissipated young man, to Avhoni he explained what he wanted, and Avhose fertile invention suggested a great variety of expedients, so that he obtained the name of the "" conjuror"" among his fellow-Avorkmen. [SEP] Johnson's genius and Radcliffe's judgment and perseverance, at length produced the dressing-***machine***; an admirable invention, Avilhout which the poAver-loom could never have been rendered efficient. [SEP] 1802."	000173479_02_14040	machine	0.0	0.0
383	1867	191 1 20-horse ***engines***, thought (by Mr. Cushman) to be the finest in Colorado ; a Blake crusher, Crosby & Thompson desulphurizer, 4-foot ball pulverizer, 30-inch ball pulverizer, three Hepburn pans, two shaking-tables, all put up in the best of style.	NEWFOUNDLAND LODE. [SEP] 191 1 20-horse ***engines***, thought (by Mr. Cushman) to be the finest in Colorado ; a Blake crusher, Crosby & Thompson desulphurizer, 4-foot ball pulverizer, 30-inch ball pulverizer, three Hepburn pans, two shaking-tables, all put up in the best of style. [SEP] The mechanical arrangement for handling the ore is per fect.	001715002_01_2647	engines	0.0	0.0
384	1855	"* Unfortunately, there then sprang up a belief in men's minds that such a ***locomotive*** could not travel on an aseeut ; that the wheels would not bite "" on the rails, but would slip while they rotated, making no onward advance."	"They tried it on a tramroad at Merthyr Tydvil in 1804, where, according to Stuart, ""it travelled at the rate of five miles an hour, and drew as many carriages as contained ten tons of iron, for a distance of nine miles, without requiring any water to be introduced into the boiler from the period of its starting until it had reached the end of its journey. [SEP] ""* Unfortunately, there then sprang up a belief in men's minds that such a ***locomotive*** could not travel on an aseeut ; that the wheels would not "" bite "" on the rails, but would slip while they rotated, making no onward advance. [SEP] If any one had had the forethought to test this theory, by constructing a piece of inclined railway for the purpose, much vexation, contention, expense, and loss of time would have been saved ; instead of this, engineers sought for a cure for the evil, without haviug ascertained that the evil really existed."	000811462_06_27419	locomotive	0.0	0.0
385	1897	Among the boys who read this, there may be some who desire to become ***locomotive*** engineers.	The travelling engineer is often promoted to the position of master mechanic ; from that place to superintendent of motive power ; and sometimes he becomes superintendent of the road, or general manager. [SEP] Among the boys who read this, there may be some who desire to become ***locomotive*** engineers. [SEP] To such I would offer one bit of advice — do whatever you are assigned to do cheerfully ; and do it well.	003852906_01_3782	locomotive	0.0	0.0
386	1882	"CORAL FISHING 73 "" The lines, wood, and irons employed in the coral fisheries are called the ***engine*** ; it consists of a cross of wood formed of two bars strongly lashed or bolted together at their centre; below this a great stone is attached, which bears the lines, arranged in the form of a sac."	"The stern is reserved for the capstan, the fishers, and the crew; the fore part of the vessel is reserved for the requirements of the padrone or master. [SEP] CORAL FISHING 73 "" The lines, wood, and irons employed in the coral fisheries are called the ***engine*** ; it consists of a cross of wood formed of two bars strongly lashed or bolted together at their centre; below this a great stone is attached, which bears the lines, arranged in the form of a sac. [SEP] These lines have great meshes, loosely knotted together, resembling the well-known swab. """	003914898_02_8262	engine	0.0	0.0
387	1856	It is then pumped to the surface by a single-stroke steam-***engine***, the annual cost of which is reckoned at £600 sterling.	A grand reservoir has been formed in the fifth level, and into this the water of the lower levels is elevated hy hand-pumps, at an expense of manual labour of 300,000 reals per annum: although the elevation of this general receptacle above the greatest depth is only 110 varas. [SEP] It is then pumped to the surface by a single-stroke steam-***engine***, the annual cost of which is reckoned at £600 sterling. [SEP] Besides these motive powers, steam and manual, from j 35 to 40 mules are kept constantly at work, — eight at once, — in drawing up the ore by a rude wheel cap- stan, the friction of which is so great that the animals can only work three hours in the 24.	001380912_01_15941	engine	0.0	0.0
388	1894	The fire ***engines*** were again deterred by a lack of water, but the Hook and Ladder Co. did good ser vice.	The fire started in Collins' building and spread on either side. [SEP] The fire ***engines*** were again deterred by a lack of water, but the Hook and Ladder Co. did good ser vice. [SEP] After the water was procured all efforts were made to prevent the fire spreading any further and these were eventually successful.	003120574_02_2685	engines	0.0	0.0
